Gmt time,Open,High,Low,Close,Volume
01.01.2017 22:00:00.000,1.05148,1.05175,1.05148,1.05175,13.86
01.01.2017 22:05:00.000,1.0517,1.05175,1.0517,1.0517,6
01.01.2017 22:10:00.000,1.05173,1.05174,1.0517,1.05174,3
01.01.2017 22:15:00.000,1.05204,1.05238,1.05166,1.05166,9.98
01.01.2017 22:20:00.000,1.05166,1.05166,1.05166,1.05166,0
01.01.2017 22:25:00.000,1.0517,1.0517,1.05154,1.05167,17
01.01.2017 22:30:00.000,1.05154,1.05199,1.0515,1.05199,52
01.01.2017 22:35:00.000,1.05199,1.05199,1.05169,1.05194,15.5
01.01.2017 22:40:00.000,1.05192,1.05194,1.05179,1.0518,18.33
01.01.2017 22:45:00.000,1.0518,1.0518,1.05179,1.0518,13.78
01.01.2017 22:50:00.000,1.0518,1.05199,1.05177,1.05178,12.19
01.01.2017 22:55:00.000,1.05177,1.05178,1.05177,1.05177,4.7
01.01.2017 23:00:00.000,1.05179,1.05245,1.05178,1.05245,37.69
01.01.2017 23:05:00.000,1.05243,1.05266,1.05221,1.05232,37.07
01.01.2017 23:10:00.000,1.05257,1.05288,1.05232,1.05245,19
01.01.2017 23:15:00.000,1.05243,1.05243,1.05243,1.05243,2.75
01.01.2017 23:20:00.000,1.05241,1.05243,1.05241,1.05241,1
01.01.2017 23:25:00.000,1.0524,1.0524,1.05238,1.0524,4.75
01.01.2017 23:30:00.000,1.05241,1.05241,1.05241,1.05241,4.5
01.01.2017 23:35:00.000,1.05238,1.05241,1.05236,1.05236,5
01.01.2017 23:40:00.000,1.05237,1.05282,1.05234,1.05245,14
01.01.2017 23:45:00.000,1.05244,1.0526,1.0522,1.0526,28.75
01.01.2017 23:50:00.000,1.0526,1.0526,1.05217,1.0522,24
01.01.2017 23:55:00.000,1.0522,1.0523,1.0522,1.0523,8
02.01.2017 00:00:00.000,1.0523,1.0526,1.05204,1.05205,11.24
02.01.2017 00:05:00.000,1.05205,1.05218,1.05204,1.05218,5.94
02.01.2017 00:10:00.000,1.05217,1.05218,1.05199,1.05205,16.45
02.01.2017 00:15:00.000,1.05205,1.05205,1.05204,1.05205,5
02.01.2017 00:20:00.000,1.05204,1.05209,1.05204,1.05209,11
02.01.2017 00:25:00.000,1.05209,1.05226,1.05205,1.05224,16.69
02.01.2017 00:30:00.000,1.05223,1.05224,1.052,1.05206,18
02.01.2017 00:35:00.000,1.05211,1.05211,1.052,1.05206,19.44
02.01.2017 00:40:00.000,1.05205,1.05206,1.05205,1.05206,6
02.01.2017 00:45:00.000,1.05194,1.0521,1.05194,1.05206,10
02.01.2017 00:50:00.000,1.05206,1.05206,1.052,1.05206,7.19
02.01.2017 00:55:00.000,1.05206,1.05206,1.05206,1.05206,4
02.01.2017 01:00:00.000,1.05206,1.0521,1.05196,1.0521,25
02.01.2017 01:05:00.000,1.05206,1.05212,1.05206,1.05212,10
02.01.2017 01:10:00.000,1.05205,1.05209,1.05205,1.05209,27.5
02.01.2017 01:15:00.000,1.05209,1.05209,1.05205,1.05209,11.62
02.01.2017 01:20:00.000,1.05231,1.05247,1.05207,1.0521,49.87
02.01.2017 01:25:00.000,1.05206,1.0522,1.05206,1.0522,17
02.01.2017 01:30:00.000,1.0522,1.0522,1.0522,1.0522,6
02.01.2017 01:35:00.000,1.05219,1.0522,1.05212,1.05219,9.75
02.01.2017 01:40:00.000,1.0522,1.05221,1.05219,1.0522,17.25
02.01.2017 01:45:00.000,1.05221,1.05221,1.05212,1.05216,11.25
02.01.2017 01:50:00.000,1.05217,1.05221,1.0521,1.05221,11.5
02.01.2017 01:55:00.000,1.05221,1.05221,1.05209,1.05221,7
02.01.2017 02:00:00.000,1.05221,1.05221,1.05218,1.05221,12
02.01.2017 02:05:00.000,1.05221,1.05221,1.05173,1.05182,78.47
02.01.2017 02:10:00.000,1.05182,1.0519,1.05175,1.05184,113
02.01.2017 02:15:00.000,1.05184,1.05191,1.05174,1.05179,18.25
02.01.2017 02:20:00.000,1.05174,1.05174,1.05155,1.05156,22.9
02.01.2017 02:25:00.000,1.05155,1.05183,1.05155,1.05166,29.15
02.01.2017 02:30:00.000,1.05163,1.05166,1.05162,1.05162,12.2
02.01.2017 02:35:00.000,1.05161,1.05174,1.05158,1.05174,6.13
02.01.2017 02:40:00.000,1.05174,1.05174,1.05174,1.05174,4.5
02.01.2017 02:45:00.000,1.05174,1.05174,1.05167,1.05167,8
02.01.2017 02:50:00.000,1.05167,1.05167,1.05167,1.05167,3.5
02.01.2017 02:55:00.000,1.05167,1.05168,1.05167,1.05168,5.25
02.01.2017 03:00:00.000,1.05169,1.05176,1.05168,1.05173,50
02.01.2017 03:05:00.000,1.0517,1.05178,1.05169,1.05178,269
